objectId,createdAt,updatedAt,ACL,name,state
0zQlu0UFHW,Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),null,Antioch University Midwest,0VZmSkdlu2
10DnitCfZf,Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:40 GMT-0600 (Central Standard Time),null,University of Massachusetts Boston,uQQMu3mJEd
12JCphEX77,Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),null,Shawnee State University,0VZmSkdlu2
13RD23wP7v,Thu Dec 19 2019 08:32:41 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:41 GMT-0600 (Central Standard Time),null,Westfield State University,uQQMu3mJEd
156UoV8SbD,Thu Dec 19 2019 08:33:24 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:24 GMT-0600 (Central Standard Time),null,List of colleges and universities,NEAuSaYnYz
15DbVRTw8m,Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:11 GMT-0600 (Central Standard Time),null,Odessa College,WJfKBdeYC9
15GyzA7sc7,Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:25 GMT-0600 (Central Standard Time),null,University of Puerto Rico,zueGGGFDQN
15NAE9uB2d,Thu Dec 19 2019 08:33:02 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:02 GMT-0600 (Central Standard Time),null,Hagerstown Community College,Gu6vtEwZH2
15vnFkFfCh,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,Taylor University,tAy4VFhYH8
19B5spK2wU,Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:05 GMT-0600 (Central Standard Time),null,"East Central University – Ada, Oklahoma",y0pDG1vk4W
1B2iM6fVOF,Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:12 GMT-0600 (Central Standard Time),null,University of Virginia,y2puBGoNlc
1BOJbFX3G4,Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:53 GMT-0600 (Central Standard Time),null,Hocking College,0VZmSkdlu2
1BetYvmc5F,Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:04 GMT-0600 (Central Standard Time),null,Bennett College,J40rCTCdyA
1BsvWFy5sc,Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:48 GMT-0600 (Central Standard Time),null,University of Indianapolis,tAy4VFhYH8
1DNq5CsBpk,Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:22 GMT-0600 (Central Standard Time),null,Richland,5TYGpvW0rm
1DSxRLBHGw,Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:32:44 GMT-0600 (Central Standard Time),null,Arcadia University,vKcIRkRCzk
1DnqICglik,Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),Thu Dec 19 2019 08:33:10 GMT-0600 (Central Standard Time),null,Central College,WJfKBdeYC9
